Country Name,Country Code,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,65.48679165,65.17951271,64.922462,64.52268271,65.24559168,66.83572711,66.02317421,61.36674452,59.01033025,61.2526558,56.28704672,56.91080835
Angola,AGO,36.44811599,35.60290817,36.18296788,34.96291205,33.78724719,33.10419463,33.41549506,34.66392257,32.97402504,32.72987314,31.78538881,32.38850491
Albania,ALB,22.71866324,22.02921828,21.99824816,21.57525796,21.27782812,22.77253665,20.57825918,19.93851711,18.88395497,19.51253962,18.18993375,18.20060252
Andorra,AND,14.11874161,13.93686693,12.59401471,12.96137804,12.8071975,13.27350555,12.40705303,11.81367331,10.83041825,11.46217847,10.25583443,10.30762139
Arab World,ARB,53.30026606,52.5434089,53.06307567,52.39525059,53.78700138,52.65227869,53.29726985,54.05382189,52.58360285,60.40681347,58.7649047,58.6892586
United Arab Emirates,ARE,39.82462869,39.77842718,39.69880052,38.98906239,38.98006849,39.1934301,39.27712811,39.6081551,37.98342106,42.33499,40.52210348,40.91750982
Argentina,ARG,16.22053017,16.84606475,16.78094792,16.40308536,16.85910062,17.38298213,16.13507182,15.59737515,14.46698041,14.6316259,13.75144403,13.31183395
Armenia,ARM,36.8607211,35.12094162,36.79644697,37.06872924,37.53004093,38.61227522,37.18448464,34.9372126,33.08594982,34.88143264,32.22716773,32.52811834
American Samoa,ASM,12.47908266,12.47908266,15.21466797,15.23784168,15.07272173,15.39064186,14.34415015,14.12722552,13.31699203,13.0193901,12.38272987,12.47382024
Antigua and Barbuda,ATG,22.40856353,22.45159506,21.97611804,22.13432961,22.52887611,23.1478617,21.47105044,20.73538507,19.72558362,19.69638779,18.46093032,18.62234285
Australia,AUS,10.41185463,10.42639658,10.84372366,10.59713361,10.6188794,11.04726492,10.53708999,9.98768389,9.492978752,9.320015289,8.614508924,8.550324401
Austria,AUT,16.86668825,15.70612581,15.35536282,15.59206265,15.14913995,15.57337093,14.28233205,14.08161348,13.37922794,13.54109517,12.59681605,12.47796673
Azerbaijan,AZE,23.94291482,23.39142886,22.880772,22.86570599,23.0476012,23.6298688,22.18081034,22.27878046,20.71006751,21.41412281,20.20815664,19.92866362
Burundi,BDI,41.24888833,40.0095359,40.95578012,40.14781299,38.38116825,38.23619121,41.01132776,39.97107204,39.38755864,38.43088048,38.65322349,38.89626795
Belgium,BEL,17.58749643,16.49606572,15.66245122,15.43635146,16.00931923,15.69844257,14.74189365,14.02266986,13.2336213,13.56652303,12.83308751,12.88651847
Benin,BEN,40.2201361,38.07847163,39.77629324,34.3288089,32.39296916,32.58084623,31.99200044,31.44329865,29.66045567,40.47068263,38.44770366,38.99995876
Burkina Faso,BFA,46.01466126,45.10893352,44.88311167,39.33511519,37.49132872,37.28137549,38.78415146,33.28720021,33.96909317,46.56216758,41.53724291,42.93559251
Bangladesh,BGD,61.59562963,61.80314399,63.0363418,68.87354591,70.76499566,70.2105489,70.79390882,65.64508289,68.3953774,66.96574924,60.12627467,60.84578458
Bulgaria,BGR,27.55988096,25.49281015,24.08980882,23.26730013,22.75619549,24.30032702,22.64465578,20.99963709,20.74356996,20.77642742,19.28301303,19.14913234
Bahrain,BHR,68.15876158,68.12334942,67.95778934,64.58727578,65.63088097,63.73249929,70.28748254,67.79467818,62.75854371,72.60467743,69.86418236,70.81620768
"Bahamas, The",BHS,21.01992374,21.2866269,21.31820066,21.06635652,21.1105137,21.77442494,20.31707569,19.90940079,18.49533328,18.88630621,17.65132069,17.36772049
Bosnia and Herzegovina,BIH,30.35255781,29.33961391,33.17226018,33.77212107,32.30015609,34.19186648,31.77325971,30.44623075,28.77732513,29.62283839,27.59446709,27.74766896
Belarus,BLR,24.58584826,22.656887,22.65026613,22.87190055,23.31940958,22.91114578,21.64637226,20.59045954,19.76605366,20.07627636,18.87823952,18.76557991
Belize,BLZ,27.42980234,27.12519252,27.84143983,28.29257873,28.2730542,28.80044628,27.40912213,27.28443966,24.42114809,25.21682566,23.06568424,23.01189211
Bermuda,BMU,11.74975934,11.69101106,14.80544275,14.77558692,14.64738151,14.84311292,13.97908263,13.47885095,12.80641477,12.41796108,11.65994362,11.64635919
Bolivia,BOL,23.95267949,24.67257239,26.25444139,29.395643,29.5728099,27.90420439,26.39024388,26.09046897,24.81882932,22.47639992,21.3866041,21.5689866
Brazil,BRA,15.14386144,15.4128569,15.77348119,15.59592573,15.95528506,15.91279799,15.28545576,14.60990092,13.98993477,13.59465562,12.65867601,12.70662947
Barbados,BRB,28.21252173,28.2458825,28.47945619,28.482801,28.21681441,29.30348967,27.03352956,26.23023054,25.18301447,24.68624082,23.45919984,23.0801758
Brunei Darussalam,BRN,6.732298222,6.839568343,6.884513524,7.24439177,7.417004403,7.366187122,7.570822949,6.709489683,6.180830115,6.484179774,5.927600072,5.903065468
Bhutan,BTN,40.20596907,40.07507496,39.74957882,43.01963566,43.96188317,43.07170329,42.93227289,41.88190701,40.83967373,39.81863873,37.22436394,37.9265032
Botswana,BWA,25.43543083,24.98630892,25.30182437,25.07372693,25.72472072,24.59211459,24.85403894,24.87425931,24.15127779,24.33025796,23.63126742,23.09438618
Central African Republic,CAF,53.28715609,53.40425591,51.57214353,52.89663351,51.53331961,51.22953137,53.35883384,50.87491368,49.35636376,58.32609851,56.98542248,56.82849738
Canada,CAN,8.225863908,8.103930599,8.280983564,8.495469137,8.384457262,8.62446106,8.107410495,7.791636125,7.428419864,7.151582145,6.549074761,6.428383133
Central Europe and the Baltics,CEB,24.81804606,22.91582375,21.55990515,21.60903966,21.98802866,21.90983004,20.20362489,19.22537578,18.60919623,18.99410846,17.64108568,17.63332812
Switzerland,CHE,14.22837266,13.37056081,12.69076406,12.861816,12.92221973,13.04922122,12.26138801,11.82005499,11.38910719,11.16525468,10.34263047,10.3031001
Chile,CHL,24.67605657,24.94324153,26.16859477,25.52731698,25.89229169,27.24586707,25.0471553,23.9366936,22.86825181,22.56979255,20.87687041,21.03629906
China,CHN,57.76500664,58.6601588,60.70483932,66.17450389,69.47957041,70.54202883,63.82701684,65.51455022,59.76736751,59.06342246,52.21132204,52.66459583
Cote d'Ivoire,CIV,25.87320064,24.85169224,25.26349351,21.8288118,21.617705,22.59307255,22.49440447,21.30554316,20.90017764,27.68749396,26.67470411,25.88626634
Cameroon,CMR,75.0066749,72.5750131,70.82948282,63.45308442,59.29340315,58.07690148,62.776697,58.18633815,56.71530558,77.05174298,73.20529127,72.79309622
"Congo, Dem. Rep.",COD,43.2331345,43.48303483,44.76174457,42.04343872,41.39803933,41.49328795,43.03677157,44.49576095,42.5494471,44.93118592,45.49950018,44.9092636
"Congo, Rep.",COG,46.68716073,42.66256501,43.59878521,42.68905182,42.00909211,44.15559345,43.48998719,46.12663732,45.85281627,44.14769514,45.7110424,46.63822028
Colombia,COL,20.38351541,20.01323703,20.05341997,21.28477536,21.49784542,21.36777875,20.53663622,19.22334802,18.34420526,17.30028428,16.58060037,16.52721022
Comoros,COM,21.75399127,21.07742304,21.54405572,21.24320643,20.66635788,21.02016044,21.2526292,21.04796184,21.50207199,20.71555746,20.48272773,20.5468246
Cabo Verde,CPV,36.13872533,36.36461069,36.62812416,30.2624091,27.59644067,31.64177817,32.94099303,32.08584342,31.62108111,38.63361366,33.39233075,34.7787001
Costa Rica,CRI,18.30876432,18.56164026,19.41210209,19.65730721,19.27295272,19.70213293,19.33512768,18.34151711,17.54363411,16.87928994,15.65581227,15.7259203
Caribbean small states,CSS,22.57964367,22.61156197,22.72583896,23.04586369,22.88005336,23.60446581,22.17649531,21.45641474,19.96653424,20.0873846,19.10237782,19.00983013
Cuba,CUB,23.79235164,24.25965174,24.1373679,24.00991936,23.93329773,24.78731963,23.23978714,22.85074328,21.29623433,20.86409957,19.73784135,19.7060474
Cyprus,CYP,20.9065766,20.5172218,20.18499397,19.7180449,20.08186599,20.09096399,19.22484321,18.68454574,18.29352737,19.10134763,16.9580216,17.2944062
Czech Republic,CZE,24.40361819,22.12133187,20.43670674,19.94659258,20.67687047,20.08124665,18.74317608,17.996287,17.39121549,17.41645169,16.1005837,16.07124535
Germany,DEU,17.01652364,15.62537022,14.90393488,14.53520844,15.18949496,14.66422844,13.57764226,13.19191946,12.75122057,12.82609758,11.93781112,12.02876736
Djibouti,DJI,40.87716559,41.22401354,40.98010856,39.17294068,38.24086927,40.44183546,39.94282079,40.10377303,41.25972754,45.95080851,45.86887513,45.5496176
Dominica,DMA,23.34142911,22.86565017,22.9554165,23.56283597,23.74074619,24.27612298,22.21579925,22.15106827,21.01030747,20.68878863,19.98814835,19.49315376
Denmark,DNK,13.25493039,12.66754747,12.41693942,12.07842801,11.92914817,12.66233138,11.11552501,10.82027884,11.06670453,10.65728566,10.09597196,10.02965344
Dominican Republic,DOM,15.44407366,15.73914006,16.4531496,16.58544537,16.87446546,17.29977986,16.15283991,15.39695063,14.1880737,14.85822076,13.69022772,13.72632115
Algeria,DZA,36.93025771,36.45658418,37.5360503,35.85882651,33.63582026,33.83404774,33.3668262,34.24532791,35.56391718,36.08916357,39.85327385,38.8840107
East Asia & Pacific (excluding high income),EAP,48.41342086,48.88107573,50.03086242,53.90314615,55.8449762,56.38466186,51.64048658,52.44074727,48.12064176,47.37309717,42.29950659,42.53946794
Early-demographic dividend,EAR,56.5504219,57.2675229,58.15346306,61.32594257,64.28431299,64.85108991,60.37496625,61.39517368,59.99596877,60.61444067,59.87018031,60.35929045
East Asia & Pacific,EAS,44.915313,45.4444801,46.58545663,50.14503127,51.9120112,52.41693271,48.05672835,48.82717052,44.84952702,44.21893188,39.52054218,39.74995754
Europe & Central Asia (excluding high income),ECA,27.1874733,26.09659668,25.76749518,25.67431964,26.60138686,26.37682055,25.52119615,25.09961473,24.27557194,25.40680953,24.31862265,24.43393927
Europe & Central Asia,ECS,21.92916541,20.86729393,20.33501769,20.15344472,20.58259725,20.5751036,19.50011895,19.07915982,18.39049124,18.99890934,18.00777789,18.08195597
Ecuador,ECU,18.42443364,18.48500925,18.70026501,19.91466892,19.97918812,19.321995,19.55771048,18.1186093,16.23418751,15.69970761,14.98157801,14.88610066
"Egypt, Arab Rep.",EGY,75.47526578,72.33836024,73.26431954,74.03844104,77.44661885,70.78635638,72.79056861,76.21365354,76.55960126,88.21338765,88.1485004,86.99945205
Euro area,EMU,16.78425799,15.86456225,15.34217132,15.1318016,15.1874175,15.36638618,14.15750083,13.78814167,13.22454571,13.43055357,12.46607318,12.52511115
Eritrea,ERI,46.9213334,46.3436351,46.37292994,47.11026453,45.2271386,45.25744675,46.13384645,47.62781596,44.37494629,49.82891214,48.67093668,48.03019868
Spain,ESP,12.21132253,11.9453955,11.77420863,11.56902518,11.3493291,12.03799789,11.14962332,10.74258206,10.07458883,10.44910241,9.704138553,9.697927863
Estonia,EST,9.051927283,8.578045915,8.227386728,8.457242673,8.519848763,8.442558919,7.810698651,7.482813578,7.705552572,7.003727673,6.821448031,6.732124015
Ethiopia,ETH,35.80074932,35.83580493,35.53396675,34.35100758,35.63414541,36.31794195,35.97384213,35.88420536,35.04359745,38.85860469,39.24503758,38.97873776
European Union,EUU,17.9600542,16.85927135,16.15598311,15.94621027,15.97908406,16.15636937,14.86924373,14.39668788,13.81144457,13.9960792,13.05569067,13.0800302
Fragile and conflict affected situations,FCS,41.99432509,42.48135067,42.1166532,41.58045459,41.86378149,42.28299726,42.44574285,41.78906613,40.13990576,44.12145428,42.33222426,42.25681271
Finland,FIN,7.412718231,7.232851604,7.093878711,7.142454436,7.190331396,7.283699708,6.601133581,6.278689198,6.468639868,6.063834353,5.893757483,5.861331001
Fiji,FJI,13.06679233,12.95578021,13.13845363,12.90249547,13.53381346,13.83646142,12.85205328,12.14461761,11.92289283,11.64194513,11.05934316,10.8401599
France,FRA,15.84966725,15.27350321,14.72301795,14.70450609,14.84562127,14.87801926,13.83475371,13.5943087,12.28970307,12.74570798,11.85518422,11.81496362
"Micronesia, Fed. Sts.",FSM,14.01098216,14.07006258,14.12448447,14.00630093,13.7492452,13.7316521,12.97443872,12.74251533,11.86686885,11.72598465,11.13451107,11.28339944
Gabon,GAB,42.91521481,42.84732106,42.58917115,39.97835312,40.27757856,41.13028375,40.8140906,40.72566252,41.31956969,44.09590117,43.72065291,44.38554846
United Kingdom,GBR,13.50818671,13.00544434,12.61822928,12.53789689,12.29910815,12.84799901,11.81449494,11.61890149,10.80055978,10.75487287,10.50466684,10.47269039
Georgia,GEO,26.52648592,25.27307039,25.27380103,25.62728402,26.10123773,26.78360332,25.00284928,23.91020353,22.96670742,24.25264627,21.82963618,22.19605462
Ghana,GHA,35.59497922,34.75965465,35.03722259,26.80667242,27.36828359,28.21169897,28.89742723,27.81534006,25.8895233,34.68190071,36.25265622,34.7135141
Guinea,GIN,24.69337283,24.18143289,24.03487457,22.44512582,21.97102786,22.44535934,22.98996509,21.25856145,21.19667275,26.94288524,24.77771417,26.0624902
"Gambia, The",GMB,35.29382272,34.77638077,34.60088048,30.28366896,30.20126341,29.26492223,30.72906478,29.80467273,30.62189539,36.30538082,32.61530208,33.98263855
Guinea-Bissau,GNB,30.58919369,30.47041868,30.45688456,26.84057022,26.83635957,27.38943995,27.0902178,26.52420728,26.94095978,31.79127202,29.58586773,29.77470228
Equatorial Guinea,GNQ,51.3694975,52.10080722,51.73967079,45.58395304,46.18648655,46.85258767,45.23237247,43.62579322,44.30179969,52.63437057,54.50903017,53.24062104
Greece,GRC,20.64297007,19.82827375,19.91860796,19.30810369,19.06108814,20.00154124,18.4207689,17.77941628,17.36504185,17.74055711,16.3289203,16.21826638
Grenada,GRD,27.73305723,27.73430716,27.48290026,27.77715503,27.47290781,28.13951521,26.46891843,25.84730814,24.28703113,24.16278293,22.88869124,22.72268748
Greenland,GRL,15.07685064,15.15751939,13.95706313,13.76893349,13.92232395,14.09660544,13.40669025,12.75796756,12.51054773,11.76203951,11.57250485,11.60217946
Guatemala,GTM,29.51331919,30.16835293,31.06172747,31.4646525,29.98259025,31.72733122,29.88625889,30.05682402,26.52785542,25.0727261,23.79782877,24.07064893
Guam,GUM,11.81600956,11.8129179,14.31416192,13.80854309,13.88834049,14.1035329,13.24230178,12.78879461,12.02255289,12.53178352,11.65176784,11.63440681
Guyana,GUY,24.94626221,24.43404161,27.39095384,27.77781074,27.31186474,27.92942466,26.90129942,24.85550257,23.64826569,23.88788174,22.37149881,22.37557463
High income,HIC,16.63390653,16.22065751,16.2044261,16.31906776,16.66933845,16.95879054,16.0809175,15.87959148,14.98694811,15.81445441,14.5179518,14.68293085
Honduras,HND,27.11257224,27.80802581,27.57162526,28.07955146,26.88295242,28.90074716,27.44714935,27.68413611,23.16154008,22.40619622,21.08695992,20.62885065
Heavily indebted poor countries (HIPC),HPC,39.83219054,39.85852256,39.65523861,37.75304484,37.19402653,37.92088795,38.51240098,37.22899462,36.42475815,41.41295623,40.50474227,40.71806235
Croatia,HRV,21.93869129,20.925025,21.51238502,22.12263296,21.33471864,21.96600369,20.2024228,19.58696201,18.43310352,19.20668151,17.78931891,17.90177229
Haiti,HTI,17.30372331,18.26293938,17.77978999,17.46177208,17.7952414,18.75791703,17.48024488,16.76701123,16.26222456,15.5402773,15.08648313,15.01982438
Hungary,HUN,21.83986141,20.01744577,18.98184965,19.46655171,19.13552438,19.36069,17.52996008,17.2318312,16.31532793,17.23213014,15.88535024,15.92604819
IBRD only,IBD,50.79247432,51.53863904,52.93369196,56.67396568,59.5207515,60.15407085,55.30045449,56.64256822,53.92514774,53.90797514,51.61841723,52.04535318
IDA & IBRD total,IBT,50.47910029,51.01779187,52.02037916,54.70098887,56.72107607,57.2299229,53.49284253,53.96855278,51.72117074,53.04448955,50.80047523,51.16659941
IDA total,IDA,49.18121806,48.98288788,48.6608451,47.89724142,47.68388105,47.91170955,47.80371464,45.65581406,44.95469765,50.42710751,48.35305486,48.57158303
IDA blend,IDB,57.31630919,56.42934193,55.90558448,53.9525059,53.37945905,53.17977299,52.66001464,49.64386899,48.45870018,58.96755865,56.68919376,56.79624142
Indonesia,IDN,18.05281101,18.16476574,17.87738998,18.92663745,18.16928033,18.04965117,18.17016951,16.87918132,16.45463183,16.64028042,16.38415363,16.5026533
IDA only,IDX,44.99777204,45.17366536,44.95688081,44.82155265,44.78226826,45.22262868,45.32147126,43.61453433,43.15890451,46.04589349,44.0739703,44.34853393
India,IND,81.29063063,82.77130187,84.16480618,90.3264588,95.75817945,97.59937863,88.1694406,91.80479161,89.62238269,89.3033343,89.67217693,90.87321047
Ireland,IRL,10.40502692,10.14926046,10.13777616,9.922228363,9.976375087,10.28507938,9.522691993,9.360153635,8.750521533,8.672473458,8.279163345,8.208576735
"Iran, Islamic Rep.",IRN,38.07173913,37.72776301,38.41777736,37.62776384,38.65150179,38.0496892,38.54205244,38.10109206,38.10949306,39.61053238,38.84130248,38.97876028
Iraq,IRQ,63.71657184,63.26491987,62.45795718,62.8517892,68.71140482,66.36260979,66.84207687,63.80269591,56.56703027,66.26503791,63.95479607,61.63623571
Iceland,ISL,8.430091258,8.171578825,7.954558321,7.84294641,7.856536667,8.098884846,7.33692926,7.171207035,6.948896646,6.927968941,6.60765416,6.481147263
Israel,ISR,24.81052732,24.31730739,24.50362411,22.98279394,24.01923772,23.90468673,23.03884904,22.94633022,22.05914688,22.7797827,20.76570151,21.38110224
Italy,ITA,21.31972951,20.27006829,19.77733481,19.60087766,19.02523065,19.99426671,18.10524741,17.75772244,17.76927084,17.89144517,16.49037374,16.75071194
Jamaica,JAM,15.95386452,15.91905265,15.89381632,16.00963133,16.09171498,16.54249891,15.46047097,14.93139975,14.07433169,14.1766593,13.39596321,13.40415053
Jordan,JOR,35.34311707,34.60585976,33.51144474,32.4828384,33.55056636,33.01726148,33.01693524,33.41761072,33.20542058,34.30544926,33.17661668,33.00608118
Japan,JPN,14.41635955,14.31252428,14.20962576,14.34866645,14.14233824,14.14103105,13.12887233,13.36255833,12.58661692,12.68745973,11.62392259,11.70477819
Kazakhstan,KAZ,16.87025189,15.73268837,15.94476469,15.61864066,15.91449319,15.24383546,14.48103768,14.5985643,13.74975351,14.38480208,13.08443846,13.82428836
Kenya,KEN,28.54755209,28.52077778,28.38549871,27.47729884,28.15477084,28.66288466,29.37227988,28.93534528,28.94935013,28.53628017,28.58337727,28.57837427
Kyrgyz Republic,KGZ,26.15659834,25.43575825,27.08021965,26.77744197,27.26538617,27.51760207,25.48983252,25.44035534,23.29819153,24.34473551,23.1955558,22.73776806
Cambodia,KHM,29.47759664,30.0668419,29.97403414,31.40893477,31.34313632,30.91962359,31.28373261,30.33652957,28.58336628,26.76923854,25.20287478,25.61429187
Kiribati,KIR,13.11509091,13.42802016,13.52196482,13.34558892,13.17504079,13.35815463,12.59423175,12.32529751,11.39374232,11.51431847,10.53783926,10.64085586
"Korea, Rep.",KOR,29.33102172,29.52063135,29.76546929,30.40690403,29.80201,29.68119454,27.91595259,29.46191729,27.21311037,28.2142437,25.09854067,25.03942539
Kuwait,KWT,60.55584843,60.0572982,61.48199413,59.67398738,62.74398094,62.82540677,64.07091103,62.61130895,55.62390422,65.40607715,60.84385161,60.74515954
Latin America & Caribbean (excluding high income),LAC,19.62094477,20.00111032,20.79859537,21.09782609,21.06784395,21.49779352,20.45659808,19.79319764,18.38906978,17.72994515,16.68716084,16.69100957
Lao PDR,LAO,26.5362993,27.09515908,27.54506764,30.17021033,31.73199577,29.66966026,30.29741812,30.25948938,28.39017177,26.13948876,25.80101805,25.10953834
Lebanon,LBN,30.34220406,29.84509316,30.61420693,30.02476838,30.89212513,30.06910747,30.10805188,30.58809767,30.44456692,31.22929528,30.17186865,30.62111051
Liberia,LBR,17.12342903,17.17619463,17.25314331,16.02440579,15.24919691,16.14705151,16.28820747,15.38285732,14.94227071,18.21280418,17.88677836,17.98411246
